id,name,date,tagline,description,minute,rating
1000918,Submarine,2010,A comedy that doesn't let principles stand in the way of progress.,"15-year-old deep-thinking Welsh schoolboy, Oliver Tate struggles to initiate and maintain a relationship with Jordana, his devilish, dark-haired classmate at their Swansea high school. As his parents' marriage begins to fall apart, similar problems arise in his relationship with Jordana.",97,3.83
1000919,Sing Street,2016,Boy meets girl. Girl unimpressed. Boy starts band.,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,106,4.02
1000920,Once Upon a Time in America,1984,"Crime, passion and lust for power.","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",229,4.21
1000921,Passengers,2016,There is a reason they woke up.,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",116,2.8
1000922,Enter the Void,2009,Sex. Money. Power.,"This psychedelic tour of life after death is seen entirely from the point of view of Oscar, a young American drug dealer and addict living in Tokyo with his prostitute sister, Linda. When Oscar is killed by police during a bust gone bad, his spirit journeys from the past -- where he sees his parents before their deaths -- to the present -- where he witnesses his own autopsy -- and then to the future, where he looks out for his sister from beyond the grave.",161,3.76
1000923,The World's End,2013,Good food. Fine ales. Total Annihilation.,Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.,109,3.62
1000924,Funny Games,1997,,"Two psychotic young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",109,3.95
1000925,RoboCop,1987,Part man. Part machine. All cop. The future of law enforcement.,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",102,3.92
1000926,The Lost World: Jurassic Park,1997,Something has survived.,"Four years after Jurassic Park's genetically bred dinosaurs ran amok, multimillionaire John Hammond shocks chaos theorist Ian Malcolm by revealing that Hammond has been breeding more beasties at a secret location. Malcolm, his paleontologist ladylove and a wildlife videographer join an expedition to document the lethal lizards' natural behavior in this action-packed thriller.",129,3.08
1000927,Moon Knight,2022,Embrace the chaos.,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.",282,3.57
1000928,Paths of Glory,1957,It explodes in the no-man's land no picture ever dared cross before!,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,88,4.45
1000929,Snow White and the Seven Dwarfs,1937,"The Happiest, Dopiest, Grumpiest, Sneeziest movie of the year.","A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",83,3.43
1000930,Sonic the Hedgehog,2020,A Whole New Speed of Hero,"Based on the global blockbuster videogame franchise from Sega, Sonic the Hedgehog tells the story of the world’s speediest hedgehog as he embraces his new home on Earth. In this live-action adventure comedy, Sonic and his new best friend team up to defend the planet from the evil genius Dr. Robotnik and his plans for world domination.",99,2.85
1000931,Who Framed Roger Rabbit,1988,"It's the story of a man, a woman, and a rabbit in a triangle of trouble.","'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.",104,3.94
1000932,Totally Killer,2023,Murder is so 1987.,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.",105,3.12
1000933,The Piano Teacher,2001,Perversion at its wicked best!,"Erika Kohut, a sexually repressed piano teacher living with her domineering mother, meets a young man who starts romantically pursuing her.",131,4.1
1000934,The Lost Daughter,2021,Being a mother is a crushing responsibility.,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,121,3.52
1000935,The Addams Family,1991,Weird Is Relative,"When an evil doctor finds out Uncle Fester has been missing for 25 years, he introduces a fake Fester in an attempt to get the Addams family's money. Wednesday has some doubts about the new uncle Fester, but the fake uncle adapts very well to the strange family.",102,3.69
1000936,Some Like It Hot,1959,Marilyn Monroe and her bosom companions... Tony Curtis... Jack Lemmon...,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",122,4.24
1000937,North by Northwest,1959,"A 2000 MILE CHASE . . . That blazes a trail of TERROR to a gripping, spine-chilling climax !","Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",136,4.19
1000938,Godzilla × Kong: The New Empire,2024,Rise together or fall alone.,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",115,2.77
1000939,Bridge to Terabithia,2007,"Close your eyes, but keep your mind wide open.","Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen.",96,3.59
